commit	file	id	line	score	label
0012846d2fa12d790220ac53f9183047abe19520	gdx/src/com/badlogic/gdx/graphics/loaders/md5/MD5Mesh.java	12	public float [ ] createVertexArray ( )	0.13252155482769012	1
0012846d2fa12d790220ac53f9183047abe19520	gdx/src/com/badlogic/gdx/graphics/loaders/md5/MD5Mesh.java	14	float [ ] verts = new float [ vertices . length * NUM ] ;	0.3416445553302765	1
0012846d2fa12d790220ac53f9183047abe19520	gdx/src/com/badlogic/gdx/graphics/loaders/md5/MD5Mesh.java	15	for ( int i = NUM , j = NUM ; i < vertices . length ; i++ )	0.4123985767364502	1
0012846d2fa12d790220ac53f9183047abe19520	gdx/src/com/badlogic/gdx/graphics/loaders/md5/MD5Mesh.java	17	verts [ j++ ] = vertices [ i ] . st . x ;	0.21067769825458527	1
0012846d2fa12d790220ac53f9183047abe19520	gdx/src/com/badlogic/gdx/graphics/loaders/md5/MD5Mesh.java	18	verts [ j++ ] = vertices [ i ] . st . y ;	0.21012239158153534	1
0012846d2fa12d790220ac53f9183047abe19520	gdx/src/com/badlogic/gdx/graphics/loaders/md5/MD5Mesh.java	19	j+=NUM ;	0.0587708055973053	1
0012846d2fa12d790220ac53f9183047abe19520	gdx/src/com/badlogic/gdx/graphics/loaders/md5/MD5Mesh.java	22	return verts ;	0.02294676937162876	1
0012846d2fa12d790220ac53f9183047abe19520	gdx/src/com/badlogic/gdx/graphics/loaders/md5/MD5Mesh.java	25	public short [ ] createIndexArray ( )	0.09072792530059814	1
0012846d2fa12d790220ac53f9183047abe19520	gdx/src/com/badlogic/gdx/graphics/loaders/md5/MD5Mesh.java	27	short [ ] indices = new short [ triangles . length*NUM ] ;	0.28950124979019165	1
0012846d2fa12d790220ac53f9183047abe19520	gdx/src/com/badlogic/gdx/graphics/loaders/md5/MD5Mesh.java	28	for ( int k = NUM , i = NUM ; i < triangles . length ; i++ )	0.38270965218544006	1
0012846d2fa12d790220ac53f9183047abe19520	gdx/src/com/badlogic/gdx/graphics/loaders/md5/MD5Mesh.java	29	for ( int j = NUM ; j < NUM ; j++ , k++ )	0.2396220862865448	1
0012846d2fa12d790220ac53f9183047abe19520	gdx/src/com/badlogic/gdx/graphics/loaders/md5/MD5Mesh.java	30	indices [ k ] = ( short ) triangles [ i ] . indices [ j ] ;	0.20710739493370056	1
0012846d2fa12d790220ac53f9183047abe19520	gdx/src/com/badlogic/gdx/graphics/loaders/md5/MD5Mesh.java	31	return indices ;	0.007245213724672794	1
0012846d2fa12d790220ac53f9183047abe19520	gdx/src/com/badlogic/gdx/graphics/loaders/md5/MD5Mesh.java	34	private final VectorNUM finalVertex = new VectorNUM ( ) ;	0.2627395987510681	1
0012846d2fa12d790220ac53f9183047abe19520	gdx/src/com/badlogic/gdx/graphics/loaders/md5/MD5Mesh.java	35	private final MDNUMQuaternion quat = new MDNUMQuaternion ( ) ;	0.21338415145874023	1
0012846d2fa12d790220ac53f9183047abe19520	gdx/src/com/badlogic/gdx/graphics/loaders/md5/MD5Mesh.java	36	private final VectorNUM weightVertex = new VectorNUM ( ) ;	0.2630726099014282	1
0012846d2fa12d790220ac53f9183047abe19520	gdx/src/com/badlogic/gdx/graphics/loaders/md5/MD5Mesh.java	37	public void calculateVertices ( MDNUMJoint [ ] skeleton , float [ ] verts )	0.22143831849098206	1
0012846d2fa12d790220ac53f9183047abe19520	gdx/src/com/badlogic/gdx/graphics/loaders/md5/MD5Mesh.java	39	for ( int i = NUM , k = NUM ; i < vertices . length ; i++ )	0.41971486806869507	1
0012846d2fa12d790220ac53f9183047abe19520	gdx/src/com/badlogic/gdx/graphics/loaders/md5/MD5Mesh.java	41	finalVertex . set ( NUM , NUM , NUM ) ;	0.1469787061214447	1
0012846d2fa12d790220ac53f9183047abe19520	gdx/src/com/badlogic/gdx/graphics/loaders/md5/MD5Mesh.java	42	int weightIndex = vertices [ i ] . start ;	0.226857528090477	1
0012846d2fa12d790220ac53f9183047abe19520	gdx/src/com/badlogic/gdx/graphics/loaders/md5/MD5Mesh.java	43	for ( int j = NUM ; j < vertices [ i ] . count ; j++ , weightIndex++ )	0.2929639220237732	1
0012846d2fa12d790220ac53f9183047abe19520	gdx/src/com/badlogic/gdx/graphics/loaders/md5/MD5Mesh.java	45	MDNUMWeight weight = weights [ weightIndex ] ;	0.19018179178237915	1
0012846d2fa12d790220ac53f9183047abe19520	gdx/src/com/badlogic/gdx/graphics/loaders/md5/MD5Mesh.java	46	MDNUMJoint joint = skeleton [ weight . joint ] ;	0.2009313553571701	1
0012846d2fa12d790220ac53f9183047abe19520	gdx/src/com/badlogic/gdx/graphics/loaders/md5/MD5Mesh.java	48	quat . set ( joint . orient ) ;	0.018602676689624786	0
0012846d2fa12d790220ac53f9183047abe19520	gdx/src/com/badlogic/gdx/graphics/loaders/md5/MD5Mesh.java	49	weightVertex . set ( weight . pos ) ;	0.08295188099145889	1
0012846d2fa12d790220ac53f9183047abe19520	gdx/src/com/badlogic/gdx/graphics/loaders/md5/MD5Mesh.java	50	quat . rotate ( weightVertex ) ;	0.07212240993976593	0
